Model,RMSE,MAE,R2
LightGBM,12.869894752693662,6.407597709863597,0.9967439598038881
CatBoost,13.226474657258013,8.224581481647615,0.9965610332626678
HistGB,18.341642795431515,10.411294204409085,0.9933867303729119
RandomForest,24.18690245435982,12.696718042337576,0.9884999355797209
